,Target Window,Target Window,Target Window,Target Window,Target Window,Opportunity Window,Opportunity Window,Opportunity Window,Opportunity Window,Opportunity Window
,Start Date,Start Time,End Date,End Time,Total Mins,Start Date,Start Time,End Date,End Time,Total Time
140,2024-03-20,07:11:47,2024-03-20,08:00:59,49.2,2024-03-20,00:00:00,2024-03-20,00:00:00,0.0
141,2024-03-21,07:07:52,2024-03-21,07:57:03,49.18333333333333,2024-03-21,00:00:00,2024-03-21,00:00:00,0.0
142,2024-03-22,07:03:56,2024-03-22,07:53:07,49.18333333333333,2024-03-22,00:00:00,2024-03-22,00:00:00,0.0
143,2024-03-23,07:00:00,2024-03-23,07:49:11,49.18333333333333,2024-03-23,00:00:00,2024-03-23,00:00:00,0.0
144,2024-03-24,06:56:04,2024-03-24,07:45:15,49.18333333333333,2024-03-24,00:00:00,2024-03-24,00:00:00,0.0
145,2024-03-25,06:52:08,2024-03-25,07:41:19,49.18333333333333,2024-03-25,00:00:00,2024-03-25,00:00:00,0.0
146,2024-03-26,06:48:12,2024-03-26,07:37:23,49.18333333333333,2024-03-26,00:00:00,2024-03-26,00:00:00,0.0
147,2024-03-27,06:44:16,2024-03-27,07:33:27,49.18333333333333,2024-03-27,00:00:00,2024-03-27,00:00:00,0.0
148,2024-03-28,06:40:20,2024-03-28,07:29:31,49.18333333333333,2024-03-28,00:00:00,2024-03-28,00:00:00,0.0
149,2024-03-29,06:36:24,2024-03-29,07:25:36,49.2,2024-03-29,00:00:00,2024-03-29,00:00:00,0.0
150,2024-03-30,06:32:28,2024-03-30,07:21:40,49.2,2024-03-30,00:00:00,2024-03-30,00:00:00,0.0
