File Name, OpMode, Test Events, HLED Events, Forced Events
Merged_CoBo0_AsAd0_2025-09-24T09:31:56.487_0000.root, 1, 42, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T09:33:55.829_0000.root, 1, 35, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T09:35:56.236_0000.root, 1, 35, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T09:37:55.895_0000.root, 1, 41, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T09:39:56.487_0000.root, 1, 1207, 50, 0
Merged_CoBo0_AsAd0_2025-09-24T09:41:55.498_0000.root, 1, 602, 4, 0
Merged_CoBo0_AsAd0_2025-09-24T09:43:55.748_0000.root, 1, 1417, 37, 0
Merged_CoBo0_AsAd0_2025-09-24T09:45:56.487_0000.root, 1, 124, 76, 0
Merged_CoBo0_AsAd0_2025-09-24T09:47:55.819_0000.root, 1, 173, 0, 0
Merged_CoBo0_AsAd0_2025-09-24T09:49:56.487_0000.root, 1, 43, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T09:51:56.298_0000.root, 1, 39, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T09:53:56.488_0000.root, 1, 37, 96, 0
Merged_CoBo0_AsAd0_2025-09-24T09:55:56.488_0000.root, 1, 49, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T09:57:55.872_0000.root, 1, 51, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T09:59:56.487_0000.root, 1, 43, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T10:01:56.488_0000.root, 1, 46, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T10:03:56.488_0000.root, 1, 39, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T10:05:56.489_0000.root, 1, 29, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T10:07:56.488_0000.root, 1, 53, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T10:09:55.566_0000.root, 1, 49, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T10:11:55.898_0000.root, 1, 31, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T10:13:56.482_0000.root, 1, 32, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T10:15:56.489_0000.root, 1, 37, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T10:17:56.190_0000.root, 1, 30, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T10:19:56.489_0000.root, 1, 45, 97, 0
